Sample;Year;DY;Tree;RF;CZ;EZ;WZ;MZ;PR;Site;Species
18;2014;237;7;1;7;0;23;47;45;north;PCAB
18;2014;237;7;2;7;0;24;53;48;north;PCAB
18;2014;237;7;3;6;0;23;56;45;north;PCAB
19;2014;247;7;1;7;0;7;56;66;north;PCAB
19;2014;247;7;2;6;0;9;57;67;north;PCAB
19;2014;247;7;3;6;0;9;52;65;north;PCAB
20;2014;256;7;1;7;0;5;103;97;north;PCAB
20;2014;256;7;2;8;0;4;97;104;north;PCAB
20;2014;256;7;3;7;0;5;101;100;north;PCAB
21;2014;265;7;1;7;0;0;109;113;north;PCAB
21;2014;265;7;2;7;0;0;111;108;north;PCAB
21;2014;265;7;3;6;0;0;108;110;north;PCAB
22;2014;276;7;1;6;0;0;51;48;north;PCAB
22;2014;276;7;2;7;0;0;49;50;north;PCAB
22;2014;276;7;3;6;0;0;50;49;north;PCAB
1;2014;105;8;1;5;0;0;0;47;north;PCAB
1;2014;105;8;2;6;0;0;0;52;north;PCAB
1;2014;105;8;3;6;0;0;0;49;north;PCAB
2;2014;112;8;1;5;0;0;0;44;north;PCAB
2;2014;112;8;2;7;0;0;0;42;north;PCAB
2;2014;112;8;3;7;0;0;0;43;north;PCAB
3;2014;120;8;1;7;0;0;0;47;north;PCAB
3;2014;120;8;2;8;0;0;0;49;north;PCAB
3;2014;120;8;3;8;0;0;0;48;north;PCAB
4;2014;128;8;1;9;0;0;0;35;north;PCAB
4;2014;128;8;2;11;0;0;0;38;north;PCAB
4;2014;128;8;3;11;0;0;0;37;north;PCAB
5;2014;135;8;1;8;0;0;0;39;north;PCAB
5;2014;135;8;2;8;0;0;0;39;north;PCAB
5;2014;135;8;3;8;0;0;0;38;north;PCAB
6;2014;141;8;1;9;1;0;0;31;north;PCAB
6;2014;141;8;2;10;1;0;0;29;north;PCAB
6;2014;141;8;3;9;0;0;0;30;north;PCAB
7;2014;148;8;1;11;6;0;0;41;north;PCAB
7;2014;148;8;2;11;6;0;0;38;north;PCAB
7;2014;148;8;3;11;6;0;0;38;north;PCAB
8;2014;155;8;1;10;10;0;0;47;north;PCAB
8;2014;155;8;2;13;11;0;0;51;north;PCAB
8;2014;155;8;3;10;12;0;0;50;north;PCAB
9;2014;162;8;1;13;10;7;0;42;north;PCAB
9;2014;162;8;2;12;9;7;0;45;north;PCAB
9;2014;162;8;3;12;8;7;0;45;north;PCAB
10;2014;168;8;1;11;13;10;0;46;north;PCAB
10;2014;168;8;2;11;11;10;0;49;north;PCAB
10;2014;168;8;3;9;13;9;0;47;north;PCAB
11;2014;180;8;1;10;4;7;0;37;north;PCAB
11;2014;180;8;2;10;4;11;0;32;north;PCAB
11;2014;180;8;3;9;5;12;0;34;north;PCAB
12;2014;187;8;1;6;10;18;8;38;north;PCAB
12;2014;187;8;2;8;7;15;7;38;north;PCAB
12;2014;187;8;3;6;8;18;7;38;north;PCAB
13;2014;195;8;1;7;7;11;16;61;north;PCAB
13;2014;195;8;2;7;7;11;17;62;north;PCAB
13;2014;195;8;3;5;7;11;19;60;north;PCAB
14;2014;203;8;1;6;7;11;22;47;north;PCAB
14;2014;203;8;2;5;6;15;26;46;north;PCAB
14;2014;203;8;3;6;5;14;24;47;north;PCAB
15;2014;210;8;1;5;3;23;26;48;north;PCAB
15;2014;210;8;2;5;4;22;23;51;north;PCAB
15;2014;210;8;3;6;4;26;22;49;north;PCAB
16;2014;217;8;1;7;2;14;46;106;north;PCAB
16;2014;217;8;2;8;1;16;42;107;north;PCAB
16;2014;217;8;3;5;2;17;41;130;north;PCAB
17;2014;227;8;1;5;3;8;23;48;north;PCAB
17;2014;227;8;2;6;4;10;24;47;north;PCAB
17;2014;227;8;3;6;3;9;23;47;north;PCAB
18;2014;237;8;1;5;1;10;20;35;north;PCAB
18;2014;237;8;2;4;1;12;19;32;north;PCAB
18;2014;237;8;3;5;0;11;16;34;north;PCAB
19;2014;247;8;1;6;0;9;22;27;north;PCAB
19;2014;247;8;2;6;0;7;22;26;north;PCAB
19;2014;247;8;3;5;0;10;19;26;north;PCAB
20;2014;256;8;1;6;0;5;26;35;north;PCAB
20;2014;256;8;2;6;0;6;22;31;north;PCAB
20;2014;256;8;3;6;0;2;33;33;north;PCAB
21;2014;265;8;1;5;0;0;30;39;north;PCAB
21;2014;265;8;2;6;0;0;26;36;north;PCAB
21;2014;265;8;3;6;0;0;26;38;north;PCAB
22;2014;276;8;1;6;0;0;27;35;north;PCAB
22;2014;276;8;2;6;0;0;27;34;north;PCAB
22;2014;276;8;3;5;0;0;27;34;north;PCAB
1;2014;105;1;1;6;0;0;0;34;south;PCAB
1;2014;105;1;2;6;0;0;0;31;south;PCAB
1;2014;105;1;3;7;0;0;0;32;south;PCAB
2;2014;112;1;1;6;0;0;0;34;south;PCAB
2;2014;112;1;2;6;0;0;0;33;south;PCAB
2;2014;112;1;3;7;0;0;0;34;south;PCAB
3;2014;120;1;1;6;0;0;0;43;south;PCAB
3;2014;120;1;2;7;0;0;0;41;south;PCAB
3;2014;120;1;3;6;0;0;0;43;south;PCAB
4;2014;128;1;1;6;0;0;0;33;south;PCAB
4;2014;128;1;2;7;0;0;0;30;south;PCAB
4;2014;128;1;3;7;0;0;0;30;south;PCAB
5;2014;135;1;1;11;0;0;0;50;south;PCAB
5;2014;135;1;2;12;0;0;0;47;south;PCAB
5;2014;135;1;3;9;0;0;0;48;south;PCAB
6;2014;141;1;1;9;1;0;0;22;south;PCAB
6;2014;141;1;2;10;1;0;0;25;south;PCAB
6;2014;141;1;3;10;1;0;0;23;south;PCAB
7;2014;148;1;1;11;6;0;0;31;south;PCAB
7;2014;148;1;2;12;4;0;0;33;south;PCAB
7;2014;148;1;3;10;4;0;0;31;south;PCAB
8;2014;155;1;1;10;7;0;0;30;south;PCAB
8;2014;155;1;2;10;6;0;0;28;south;PCAB
8;2014;155;1;3;12;6;0;0;28;south;PCAB
9;2014;162;1;1;9;6;1;0;23;south;PCAB
9;2014;162;1;2;10;6;2;0;21;south;PCAB
9;2014;162;1;3;8;5;1;0;22;south;PCAB
10;2014;168;1;1;12;4;7;0;39;south;PCAB
10;2014;168;1;2;11;5;8;0;37;south;PCAB
10;2014;168;1;3;10;6;7;0;39;south;PCAB
11;2014;180;1;1;10;8;7;0;47;south;PCAB
11;2014;180;1;2;10;8;8;0;43;south;PCAB
11;2014;180;1;3;9;11;6;0;45;south;PCAB
12;2014;187;1;1;11;9;12;4;49;south;PCAB
12;2014;187;1;2;13;8;15;5;54;south;PCAB
12;2014;187;1;3;11;5;14;5;50;south;PCAB
13;2014;195;1;1;6;2;15;12;38;south;PCAB
13;2014;195;1;2;5;1;12;14;35;south;PCAB
13;2014;195;1;3;7;2;11;19;37;south;PCAB
14;2014;203;1;1;8;6;9;17;61;south;PCAB
14;2014;203;1;2;8;8;9;15;66;south;PCAB
14;2014;203;1;3;6;6;9;21;64;south;PCAB
15;2014;210;1;1;5;1;11;10;38;south;PCAB
15;2014;210;1;2;5;1;11;11;36;south;PCAB
15;2014;210;1;3;5;1;9;12;37;south;PCAB
16;2014;217;1;1;6;1;10;11;25;south;PCAB
16;2014;217;1;2;6;1;7;11;27;south;PCAB
16;2014;217;1;3;6;1;11;15;25;south;PCAB
17;2014;227;1;1;6;1;9;14;28;south;PCAB
17;2014;227;1;2;6;0;9;14;27;south;PCAB
17;2014;227;1;3;5;0;7;15;28;south;PCAB
18;2014;237;1;1;5;0;5;15;26;south;PCAB
18;2014;237;1;2;5;0;6;15;26;south;PCAB
18;2014;237;1;3;6;0;5;15;26;south;PCAB
19;2014;247;1;1;6;0;1;21;32;south;PCAB
19;2014;247;1;2;5;0;1;21;31;south;PCAB
19;2014;247;1;3;5;0;2;22;32;south;PCAB
20;2014;256;1;1;7;0;0;34;50;south;PCAB
20;2014;256;1;2;6;0;0;32;50;south;PCAB
20;2014;256;1;3;6;0;0;36;50;south;PCAB
21;2014;265;1;1;7;0;0;16;24;south;PCAB
21;2014;265;1;2;6;0;0;17;23;south;PCAB
21;2014;265;1;3;6;0;0;21;23;south;PCAB
22;2014;276;1;1;6;0;0;13;29;south;PCAB
22;2014;276;1;2;6;0;0;15;27;south;PCAB
22;2014;276;1;3;5;0;0;16;29;south;PCAB
1;2014;105;2;1;6;0;0;0;45;south;PCAB
1;2014;105;2;2;6;0;0;0;47;south;PCAB
1;2014;105;2;3;7;0;0;0;47;south;PCAB
2;2014;112;2;1;10;0;0;0;57;south;PCAB
2;2014;112;2;2;8;0;0;0;57;south;PCAB
2;2014;112;2;3;10;0;0;0;57;south;PCAB
3;2014;120;2;1;10;0;0;0;54;south;PCAB
3;2014;120;2;2;10;0;0;0;57;south;PCAB
3;2014;120;2;3;8;0;0;0;55;south;PCAB
4;2014;128;2;1;10;0;0;0;56;south;PCAB
4;2014;128;2;2;8;0;0;0;54;south;PCAB
4;2014;128;2;3;8;0;0;0;53;south;PCAB
5;2014;135;2;1;8;1;0;0;54;south;PCAB
5;2014;135;2;2;8;0;0;0;56;south;PCAB
5;2014;135;2;3;9;0;0;0;54;south;PCAB
6;2014;141;2;1;10;1;0;0;46;south;PCAB
6;2014;141;2;2;11;0;0;0;47;south;PCAB
6;2014;141;2;3;11;0;0;0;48;south;PCAB
7;2014;148;2;1;17;3;0;0;46;south;PCAB
7;2014;148;2;2;15;2;0;0;47;south;PCAB
7;2014;148;2;3;15;4;0;0;46;south;PCAB
8;2014;155;2;1;14;7;0;0;47;south;PCAB
8;2014;155;2;2;15;5;0;0;40;south;PCAB
8;2014;155;2;3;14;5;0;0;43;south;PCAB
9;2014;162;2;1;15;5;5;0;38;south;PCAB
9;2014;162;2;2;15;5;4;0;40;south;PCAB
9;2014;162;2;3;13;5;4;0;39;south;PCAB
10;2014;168;2;1;12;5;4;0;40;south;PCAB
10;2014;168;2;2;14;6;4;0;45;south;PCAB
10;2014;168;2;3;12;6;4;0;43;south;PCAB
11;2014;180;2;1;14;5;3;0;41;south;PCAB
11;2014;180;2;2;12;6;3;0;43;south;PCAB
11;2014;180;2;3;13;7;4;0;42;south;PCAB
12;2014;187;2;1;7;6;9;1;47;south;PCAB
12;2014;187;2;2;9;6;8;2;52;south;PCAB
12;2014;187;2;3;8;7;7;2;51;south;PCAB
13;2014;195;2;1;6;2;9;15;58;south;PCAB
13;2014;195;2;2;7;1;11;15;65;south;PCAB
13;2014;195;2;3;6;2;11;16;63;south;PCAB
14;2014;203;2;1;6;6;13;4;50;south;PCAB
14;2014;203;2;2;6;5;13;5;57;south;PCAB
14;2014;203;2;3;8;5;12;5;53;south;PCAB
15;2014;210;2;1;8;2;9;12;46;south;PCAB
15;2014;210;2;2;5;3;13;7;48;south;PCAB
15;2014;210;2;3;7;2;9;12;48;south;PCAB
16;2014;217;2;1;6;1;13;10;51;south;PCAB
16;2014;217;2;2;6;2;13;9;51;south;PCAB
16;2014;217;2;3;6;1;8;10;52;south;PCAB
17;2014;227;2;1;7;0;9;12;48;south;PCAB
17;2014;227;2;2;6;1;9;13;51;south;PCAB
17;2014;227;2;3;6;1;11;10;51;south;PCAB
18;2014;237;2;1;7;0;12;20;57;south;PCAB
18;2014;237;2;2;7;0;10;21;55;south;PCAB
18;2014;237;2;3;6;0;11;20;59;south;PCAB
19;2014;247;2;1;6;0;4;27;54;south;PCAB
19;2014;247;2;2;6;0;4;28;52;south;PCAB
19;2014;247;2;3;7;0;3;24;53;south;PCAB
20;2014;256;2;1;6;0;0;24;32;south;PCAB
20;2014;256;2;2;6;0;0;19;32;south;PCAB
20;2014;256;2;3;6;0;0;23;32;south;PCAB
21;2014;265;2;1;7;0;0;40;29;south;PCAB
21;2014;265;2;2;6;0;0;44;29;south;PCAB
21;2014;265;2;3;6;0;0;45;28;south;PCAB
22;2014;276;2;1;6;0;0;32;47;south;PCAB
22;2014;276;2;2;5;0;0;28;46;south;PCAB
22;2014;276;2;3;5;0;0;28;47;south;PCAB
1;2014;105;3;1;5;0;0;0;94;south;PCAB
1;2014;105;3;2;5;0;0;0;95;south;PCAB
1;2014;105;3;3;6;0;0;0;94;south;PCAB
2;2014;112;3;1;5;0;0;0;50;south;PCAB
2;2014;112;3;2;7;0;0;0;54;south;PCAB
2;2014;112;3;3;8;0;0;0;53;south;PCAB
3;2014;120;3;1;9;0;0;0;64;south;PCAB
3;2014;120;3;2;9;0;0;0;65;south;PCAB
3;2014;120;3;3;9;0;0;0;66;south;PCAB
4;2014;128;3;1;16;0;0;0;68;south;PCAB
4;2014;128;3;2;16;0;0;0;66;south;PCAB
4;2014;128;3;3;14;0;0;0;67;south;PCAB
5;2014;135;3;1;12;0;0;0;50;south;PCAB
5;2014;135;3;2;13;0;0;0;51;south;PCAB
5;2014;135;3;3;11;0;0;0;51;south;PCAB
6;2014;141;3;1;14;1;0;0;56;south;PCAB
6;2014;141;3;2;12;0;0;0;59;south;PCAB
6;2014;141;3;3;11;1;0;0;55;south;PCAB
7;2014;148;3;1;13;9;0;0;51;south;PCAB
7;2014;148;3;2;16;8;0;0;56;south;PCAB
7;2014;148;3;3;14;9;0;0;53;south;PCAB
8;2014;155;3;1;11;9;0;0;56;south;PCAB
8;2014;155;3;2;10;7;0;0;60;south;PCAB
8;2014;155;3;3;12;9;0;0;57;south;PCAB
9;2014;162;3;1;9;9;15;0;56;south;PCAB
9;2014;162;3;2;13;6;15;0;57;south;PCAB
9;2014;162;3;3;13;7;13;0;57;south;PCAB
10;2014;168;3;1;8;8;14;3;59;south;PCAB
10;2014;168;3;2;7;8;11;3;59;south;PCAB
10;2014;168;3;3;8;8;16;4;59;south;PCAB
11;2014;180;3;1;11;12;13;9;71;south;PCAB
11;2014;180;3;2;11;14;13;14;69;south;PCAB
11;2014;180;3;3;11;11;16;10;69;south;PCAB
12;2014;187;3;1;8;4;12;13;67;south;PCAB
12;2014;187;3;2;7;3;8;20;71;south;PCAB
12;2014;187;3;3;6;5;10;18;70;south;PCAB
13;2014;195;3;1;7;2;13;18;63;south;PCAB
13;2014;195;3;2;7;3;13;19;60;south;PCAB
13;2014;195;3;3;6;2;11;17;63;south;PCAB
14;2014;203;3;1;5;2;8;15;79;south;PCAB
14;2014;203;3;2;7;1;9;16;76;south;PCAB
14;2014;203;3;3;5;1;8;19;77;south;PCAB
15;2014;210;3;1;6;1;9;24;58;south;PCAB
15;2014;210;3;2;7;0;9;21;57;south;PCAB
15;2014;210;3;3;5;1;10;19;59;south;PCAB
16;2014;217;3;1;5;1;11;30;54;south;PCAB
16;2014;217;3;2;5;1;13;37;55;south;PCAB
16;2014;217;3;3;6;1;12;37;55;south;PCAB
17;2014;227;3;1;7;0;6;31;51;south;PCAB
17;2014;227;3;2;6;0;7;28;53;south;PCAB
17;2014;227;3;3;7;0;7;28;51;south;PCAB
18;2014;237;3;1;5;0;2;32;69;south;PCAB
18;2014;237;3;2;6;0;2;36;64;south;PCAB
18;2014;237;3;3;6;0;3;33;66;south;PCAB
19;2014;247;3;1;7;0;1;35;59;south;PCAB
19;2014;247;3;2;;;;;;south;PCAB
19;2014;247;3;3;;;;;;south;PCAB
20;2014;256;3;1;6;0;0;34;63;south;PCAB
20;2014;256;3;2;6;0;0;36;60;south;PCAB
20;2014;256;3;3;7;0;0;35;62;south;PCAB
21;2014;265;3;1;6;0;0;39;59;south;PCAB
21;2014;265;3;2;6;0;0;38;61;south;PCAB
21;2014;265;3;3;6;0;0;40;61;south;PCAB
22;2014;276;3;1;7;0;0;42;63;south;PCAB
22;2014;276;3;2;6;0;0;45;68;south;PCAB
22;2014;276;3;3;6;0;0;50;64;south;PCAB
1;2014;105;4;1;6;0;0;0;55;south;PCAB
1;2014;105;4;2;6;0;0;0;60;south;PCAB
1;2014;105;4;3;6;0;0;0;60;south;PCAB
2;2014;112;4;1;8;0;0;0;41;south;PCAB
2;2014;112;4;2;8;0;0;0;40;south;PCAB
2;2014;112;4;3;8;0;0;0;43;south;PCAB
3;2014;120;4;1;10;0;0;0;41;south;PCAB
3;2014;120;4;2;11;0;0;0;36;south;PCAB
3;2014;120;4;3;8;0;0;0;41;south;PCAB
4;2014;128;4;1;11;0;0;0;47;south;PCAB
4;2014;128;4;2;13;0;0;0;46;south;PCAB
4;2014;128;4;3;12;0;0;0;45;south;PCAB
5;2014;135;4;1;10;0;0;0;48;south;PCAB
5;2014;135;4;2;9;0;0;0;46;south;PCAB
5;2014;135;4;3;9;0;0;0;45;south;PCAB
6;2014;141;4;1;13;0;0;0;39;south;PCAB
6;2014;141;4;2;12;1;0;0;36;south;PCAB
6;2014;141;4;3;10;1;0;0;41;south;PCAB
7;2014;148;4;1;9;3;0;0;34;south;PCAB
7;2014;148;4;2;10;2;0;0;34;south;PCAB
7;2014;148;4;3;10;3;0;0;39;south;PCAB
8;2014;155;4;1;11;5;0;0;37;south;PCAB
8;2014;155;4;2;10;6;0;0;39;south;PCAB
8;2014;155;4;3;11;5;0;0;38;south;PCAB
9;2014;162;4;1;12;11;2;0;44;south;PCAB
9;2014;162;4;2;11;14;3;0;42;south;PCAB
9;2014;162;4;3;13;10;3;0;35;south;PCAB
10;2014;168;4;1;10;8;5;0;40;south;PCAB
10;2014;168;4;2;10;8;5;0;34;south;PCAB
10;2014;168;4;3;10;6;5;0;39;south;PCAB
11;2014;180;4;1;12;15;6;0;40;south;PCAB
11;2014;180;4;2;11;9;6;0;39;south;PCAB
11;2014;180;4;3;11;14;5;0;45;south;PCAB
12;2014;187;4;1;10;7;15;2;38;south;PCAB
12;2014;187;4;2;10;6;14;2;38;south;PCAB
12;2014;187;4;3;10;4;12;2;37;south;PCAB
13;2014;195;4;1;9;2;13;7;44;south;PCAB
13;2014;195;4;2;9;3;15;7;46;south;PCAB
13;2014;195;4;3;8;3;12;11;45;south;PCAB
14;2014;203;4;1;6;1;10;7;40;south;PCAB
14;2014;203;4;2;5;2;11;7;41;south;PCAB
14;2014;203;4;3;5;2;9;11;39;south;PCAB
15;2014;210;4;1;5;3;10;12;36;south;PCAB
15;2014;210;4;2;4;2;10;10;39;south;PCAB
15;2014;210;4;3;4;2;9;12;36;south;PCAB
16;2014;217;4;1;6;0;13;21;56;south;PCAB
16;2014;217;4;2;8;1;11;19;52;south;PCAB
16;2014;217;4;3;5;1;11;20;52;south;PCAB
17;2014;227;4;1;8;1;9;22;58;south;PCAB
17;2014;227;4;2;7;0;15;21;56;south;PCAB
17;2014;227;4;3;7;0;10;25;53;south;PCAB
18;2014;237;4;1;5;0;10;16;29;south;PCAB
18;2014;237;4;2;5;0;9;22;33;south;PCAB
18;2014;237;4;3;5;0;8;16;31;south;PCAB
19;2014;247;4;1;8;0;0;43;59;south;PCAB
19;2014;247;4;2;7;0;0;36;61;south;PCAB
19;2014;247;4;3;8;0;0;36;64;south;PCAB
20;2014;256;4;1;6;0;0;23;31;south;PCAB
20;2014;256;4;2;6;0;0;20;32;south;PCAB
20;2014;256;4;3;6;0;0;23;31;south;PCAB
21;2014;265;4;1;6;0;0;28;38;south;PCAB
21;2014;265;4;2;6;0;0;31;35;south;PCAB
21;2014;265;4;3;6;0;0;31;35;south;PCAB
22;2014;276;4;1;5;0;0;25;34;south;PCAB
22;2014;276;4;2;5;0;0;21;30;south;PCAB
22;2014;276;4;3;6;0;0;19;33;south;PCAB
1;2014;105;5;1;6;0;0;0;22;south;PCAB
1;2014;105;5;2;5;0;0;0;21;south;PCAB
1;2014;105;5;3;5;0;0;0;22;south;PCAB
2;2014;112;5;1;5;0;0;0;12;south;PCAB
2;2014;112;5;2;4;0;0;0;15;south;PCAB
2;2014;112;5;3;4;0;0;0;13;south;PCAB
3;2014;120;5;1;6;0;0;0;38;south;PCAB
3;2014;120;5;2;5;0;0;0;36;south;PCAB
3;2014;120;5;3;5;0;0;0;37;south;PCAB
4;2014;128;5;1;6;0;0;0;19;south;PCAB
4;2014;128;5;2;6;0;0;0;23;south;PCAB
4;2014;128;5;3;5;0;0;0;22;south;PCAB
5;2014;135;5;1;13;0;0;0;53;south;PCAB
5;2014;135;5;2;10;0;0;0;49;south;PCAB
5;2014;135;5;3;11;0;0;0;52;south;PCAB
6;2014;141;5;1;11;0;0;0;21;south;PCAB
6;2014;141;5;2;10;0;0;0;21;south;PCAB
6;2014;141;5;3;10;0;0;0;21;south;PCAB
7;2014;148;5;1;11;0;0;0;23;south;PCAB
7;2014;148;5;2;9;0;0;0;22;south;PCAB
7;2014;148;5;3;11;0;0;0;22;south;PCAB
8;2014;155;5;1;8;2;0;0;33;south;PCAB
8;2014;155;5;2;10;2;0;0;35;south;PCAB
8;2014;155;5;3;10;2;0;0;34;south;PCAB
9;2014;162;5;1;11;4;0;0;28;south;PCAB
9;2014;162;5;2;11;3;0;0;27;south;PCAB
9;2014;162;5;3;12;4;0;0;28;south;PCAB
10;2014;168;5;1;10;8;0;0;25;south;PCAB
10;2014;168;5;2;9;8;0;0;27;south;PCAB
10;2014;168;5;3;10;8;1;0;26;south;PCAB
11;2014;180;5;1;8;8;10;0;32;south;PCAB
11;2014;180;5;2;8;5;8;3;28;south;PCAB
11;2014;180;5;3;8;6;9;3;31;south;PCAB
12;2014;187;5;1;8;3;4;1;23;south;PCAB
12;2014;187;5;2;10;3;5;1;22;south;PCAB
12;2014;187;5;3;8;3;5;1;23;south;PCAB
13;2014;195;5;1;6;7;7;5;29;south;PCAB
13;2014;195;5;2;6;5;8;5;28;south;PCAB
13;2014;195;5;3;6;8;5;5;29;south;PCAB
14;2014;203;5;1;6;3;11;16;49;south;PCAB
14;2014;203;5;2;5;3;12;17;54;south;PCAB
14;2014;203;5;3;6;3;9;14;51;south;PCAB
15;2014;210;5;1;6;3;7;13;27;south;PCAB
15;2014;210;5;2;5;2;7;12;27;south;PCAB
15;2014;210;5;3;6;3;6;13;27;south;PCAB
16;2014;217;5;1;6;1;7;16;34;south;PCAB
16;2014;217;5;2;5;1;4;24;33;south;PCAB
16;2014;217;5;3;5;2;7;18;34;south;PCAB
17;2014;227;5;1;5;0;8;13;39;south;PCAB
17;2014;227;5;2;6;0;7;14;40;south;PCAB
17;2014;227;5;3;7;0;8;16;39;south;PCAB
18;2014;237;5;1;6;0;5;19;31;south;PCAB
18;2014;237;5;2;;;;;;south;PCAB
18;2014;237;5;3;;;;;;south;PCAB
19;2014;247;5;1;6;0;2;23;26;south;PCAB
19;2014;247;5;2;6;0;1;26;28;south;PCAB
19;2014;247;5;3;5;0;3;24;25;south;PCAB
20;2014;256;5;1;6;0;0;27;43;south;PCAB
20;2014;256;5;2;6;0;0;29;43;south;PCAB
20;2014;256;5;3;6;0;0;30;46;south;PCAB
21;2014;265;5;1;6;0;0;23;40;south;PCAB
21;2014;265;5;2;5;0;0;24;40;south;PCAB
21;2014;265;5;3;6;0;0;21;40;south;PCAB
22;2014;276;5;1;6;0;0;31;38;south;PCAB
22;2014;276;5;2;6;0;0;28;40;south;PCAB
22;2014;276;5;3;6;0;0;31;38;south;PCAB
1;2014;105;6;1;4;0;0;0;17;south;PCAB
1;2014;105;6;2;4;0;0;0;17;south;PCAB
1;2014;105;6;3;5;0;0;0;16;south;PCAB
2;2014;112;6;1;4;0;0;0;22;south;PCAB
2;2014;112;6;2;5;0;0;0;22;south;PCAB
2;2014;112;6;3;6;0;0;0;22;south;PCAB
3;2014;120;6;1;6;0;0;0;35;south;PCAB
3;2014;120;6;2;6;0;0;0;31;south;PCAB
3;2014;120;6;3;6;0;0;0;33;south;PCAB
4;2014;128;6;1;11;0;0;0;48;south;PCAB
4;2014;128;6;2;13;0;0;0;49;south;PCAB
4;2014;128;6;3;11;0;0;0;49;south;PCAB
5;2014;135;6;1;8;0;0;0;19;south;PCAB
5;2014;135;6;2;9;0;0;0;19;south;PCAB
5;2014;135;6;3;9;0;0;0;19;south;PCAB
6;2014;141;6;1;7;0;0;0;13;south;PCAB
6;2014;141;6;2;7;0;0;0;14;south;PCAB
6;2014;141;6;3;8;0;0;0;14;south;PCAB
7;2014;148;6;1;12;1;0;0;17;south;PCAB
7;2014;148;6;2;12;2;0;0;17;south;PCAB
7;2014;148;6;3;11;3;0;0;17;south;PCAB
8;2014;155;6;1;11;4;0;0;21;south;PCAB
8;2014;155;6;2;10;3;0;0;22;south;PCAB
8;2014;155;6;3;10;3;0;0;21;south;PCAB
9;2014;162;6;1;10;5;2;0;20;south;PCAB
9;2014;162;6;2;11;5;2;0;20;south;PCAB
9;2014;162;6;3;10;3;2;0;20;south;PCAB
10;2014;168;6;1;11;7;5;0;20;south;PCAB
10;2014;168;6;2;12;5;4;0;21;south;PCAB
10;2014;168;6;3;13;4;5;0;21;south;PCAB
11;2014;180;6;1;9;3;5;0;19;south;PCAB
11;2014;180;6;2;10;3;5;0;22;south;PCAB
11;2014;180;6;3;10;3;5;0;20;south;PCAB
12;2014;187;6;1;6;4;6;3;19;south;PCAB
12;2014;187;6;2;6;2;5;2;17;south;PCAB
12;2014;187;6;3;7;2;4;2;18;south;PCAB
13;2014;195;6;1;6;2;5;3;17;south;PCAB
13;2014;195;6;2;7;2;7;3;18;south;PCAB
13;2014;195;6;3;4;2;7;3;18;south;PCAB
14;2014;203;6;1;5;2;7;5;17;south;PCAB
14;2014;203;6;2;5;2;5;4;18;south;PCAB
14;2014;203;6;3;6;2;6;5;18;south;PCAB
15;2014;210;6;1;5;1;5;5;15;south;PCAB
15;2014;210;6;2;6;1;6;6;16;south;PCAB
15;2014;210;6;3;6;1;6;6;15;south;PCAB
16;2014;217;6;1;5;2;6;8;18;south;PCAB
16;2014;217;6;2;5;2;7;7;17;south;PCAB
16;2014;217;6;3;7;2;6;7;17;south;PCAB
17;2014;227;6;1;6;1;6;8;17;south;PCAB
17;2014;227;6;2;6;1;7;8;17;south;PCAB
17;2014;227;6;3;6;1;6;8;18;south;PCAB
18;2014;237;6;1;6;0;3;13;22;south;PCAB
18;2014;237;6;2;6;0;4;11;20;south;PCAB
18;2014;237;6;3;5;0;3;11;22;south;PCAB
19;2014;247;6;1;6;0;2;14;21;south;PCAB
19;2014;247;6;2;6;0;2;16;20;south;PCAB
19;2014;247;6;3;7;0;2;13;20;south;PCAB
20;2014;256;6;1;6;0;0;14;14;south;PCAB
20;2014;256;6;2;5;0;0;15;16;south;PCAB
20;2014;256;6;3;5;0;0;15;16;south;PCAB
21;2014;265;6;1;7;0;0;17;14;south;PCAB
21;2014;265;6;2;6;0;0;18;16;south;PCAB
21;2014;265;6;3;6;0;0;14;15;south;PCAB
22;2014;276;6;1;6;0;0;9;14;south;PCAB
22;2014;276;6;2;5;0;0;10;14;south;PCAB
22;2014;276;6;3;5;0;0;9;14;south;PCAB
1;2014;105;7;1;5;0;0;0;19;south;PCAB
1;2014;105;7;2;6;0;0;0;18;south;PCAB
1;2014;105;7;3;6;0;0;0;19;south;PCAB
2;2014;112;7;1;7;0;0;0;29;south;PCAB
2;2014;112;7;2;6;0;0;0;28;south;PCAB
2;2014;112;7;3;6;0;0;0;29;south;PCAB
3;2014;120;7;1;5;0;0;0;20;south;PCAB
3;2014;120;7;2;5;0;0;0;17;south;PCAB
3;2014;120;7;3;6;0;0;0;19;south;PCAB
4;2014;128;7;1;5;0;0;0;13;south;PCAB
4;2014;128;7;2;5;0;0;0;14;south;PCAB
4;2014;128;7;3;6;0;0;0;12;south;PCAB
5;2014;135;7;1;6;0;0;0;17;south;PCAB
5;2014;135;7;2;6;0;0;0;16;south;PCAB
5;2014;135;7;3;6;0;0;0;14;south;PCAB
6;2014;141;7;1;9;0;0;0;18;south;PCAB
6;2014;141;7;2;8;0;0;0;18;south;PCAB
6;2014;141;7;3;8;0;0;0;21;south;PCAB
7;2014;148;7;1;8;1;0;0;16;south;PCAB
7;2014;148;7;2;8;1;0;0;15;south;PCAB
7;2014;148;7;3;8;2;0;0;16;south;PCAB
8;2014;155;7;1;8;3;0;0;20;south;PCAB
